distance-to-activities-coefficient;density-coefficient;distance-to-center-coefficient;distance-to-roads-coefficient;moran
0;0;0;1;-0.30822993296454043
0;0;0;1;-0.05448427068237052
0;0;0;1;0.004651626412333246
0;0;0;1;0.022950115638156136
0;0;0;1;0.059416180133196585
0;0;0;1;0.07126602256042272
0;0;0;1;0.09414743921102144
0;0;0;1;0.1054062928307922
0;0;0;1;0.11835852289169774
0;0;0;1;0.11835852289169774
0;0;0;1;0.12811817119924382
0;0;0;1;0.12811817119924382
0;0;0;1;0.12811817119924382
0;0;0;1;0.12653986716253887
0;0;0;1;0.12653986716253887
0;0;0;1;0.12653986716253887
0;0;0;1;0.12653986716253887
0;0;0;1;0.13252578509908175
0;0;0;1;0.13252578509908175
0;0;0;1;0.13252578509908175
0;0;0;1;0.13252578509908175
0;0;0;1;0.13252578509908175
0;0;0;1;0.13252578509908175
0;0;0;1;0.13252578509908175
0;0;0;1;0.13252578509908175
0;0;0;1;0.13252578509908175
0;0;0;1;0.13252578509908175
0;0;0;1;-0.33333333333333337
0;0;0;1;0.015423956552406604
0;0;0;1;-0.02911932895089314
0;0;0;1;0.015866584322637555
0;0;0;1;0.06673520014722914
0;0;0;1;0.06836693769290102
0;0;0;1;0.10202121555773838
0;0;0;1;0.10856527333523265
0;0;0;1;0.12858228979237343
0;0;0;1;0.12858228979237343
0;0;0;1;0.12395432870587773
0;0;0;1;0.12395432870587773
0;0;0;1;0.12395432870587773
0;0;0;1;0.1449523955644425
0;0;0;1;0.1449523955644425
0;0;0;1;0.1449523955644425
0;0;0;1;0.1449523955644425
0;0;0;1;0.143207633450633
0;0;0;1;0.143207633450633
0;0;0;1;0.143207633450633
0;0;0;1;0.143207633450633
0;0;0;1;0.143207633450633
0;0;0;1;0.143207633450633
0;0;0;1;0.143207633450633
0;0;0;1;0.143207633450633
0;0;0;1;0.143207633450633
0;0;0;1;0.143207633450633
0;0;0;1;-0.30992456452209377
0;0;0;1;-0.07185673063616244
0;0;0;1;-0.027532647561743617
0;0;0;1;0.037882849974446034
0;0;0;1;0.07555903049676135
0;0;0;1;0.08135742380911885
0;0;0;1;0.09930867427890133
0;0;0;1;0.11041966374055974
0;0;0;1;0.12781170787392535
0;0;0;1;0.12781170787392535
0;0;0;1;0.1327267195686845
0;0;0;1;0.1327267195686845
0;0;0;1;0.1327267195686845
0;0;0;1;0.14554557013888958
0;0;0;1;0.14554557013888958
0;0;0;1;0.14554557013888958
0;0;0;1;0.14554557013888958
0;0;0;1;0.14844902722973996
0;0;0;1;0.14844902722973996
0;0;0;1;0.14844902722973996
0;0;0;1;0.14844902722973996
0;0;0;1;0.14844902722973996
0;0;0;1;0.14844902722973996
0;0;0;1;0.14844902722973996
0;0;0;1;0.14844902722973996
0;0;0;1;0.14844902722973996
0;0;0;1;0.14844902722973996
0;0;0;1;-0.3333333333333333
0;0;0;1;-0.0613896143026899
0;0;0;1;0.07315731864786647
0;0;0;1;0.04970069888645529
0;0;0;1;0.07104959064953008
0;0;0;1;0.10518553650229585
0;0;0;1;0.1111168672656293
0;0;0;1;0.1326893277759506
0;0;0;1;0.13882835987678752
0;0;0;1;0.13882835987678752
0;0;0;1;0.1484652263401067
0;0;0;1;0.1484652263401067
0;0;0;1;0.1484652263401067
0;0;0;1;0.16215133807103665
0;0;0;1;0.16215133807103665
0;0;0;1;0.16215133807103665
0;0;0;1;0.16215133807103665
0;0;0;1;0.16375903005956022
0;0;0;1;0.16375903005956022
0;0;0;1;0.16375903005956022
0;0;0;1;0.16375903005956022
0;0;0;1;0.16375903005956022
0;0;0;1;0.16375903005956022
0;0;0;1;0.16375903005956022
0;0;0;1;0.16375903005956022
0;0;0;1;0.16375903005956022
0;0;0;1;0.16375903005956022
0;0;0;1;-0.2629286789771061
0;0;0;1;0.0068950786532350206
0;0;0;1;0.07091810065190494
0;0;0;1;0.09418989731031585
0;0;0;1;0.09853537843218747
0;0;0;1;0.08700746714342023
0;0;0;1;0.10077928456012629
0;0;0;1;0.11397849031289356
0;0;0;1;0.10428204214473337
0;0;0;1;0.10428204214473337
0;0;0;1;0.10997549597626155
0;0;0;1;0.10997549597626155
0;0;0;1;0.10997549597626155
0;0;0;1;0.12762093823106488
0;0;0;1;0.12762093823106488
0;0;0;1;0.12762093823106488
0;0;0;1;0.12762093823106488
0;0;0;1;0.10877513789214222
0;0;0;1;0.10877513789214222
0;0;0;1;0.10877513789214222
0;0;0;1;0.10877513789214222
0;0;0;1;0.10877513789214222
0;0;0;1;0.10877513789214222
0;0;0;1;0.10877513789214222
0;0;0;1;0.10877513789214222
0;0;0;1;0.10877513789214222
0;0;0;1;0.10877513789214222
0;0;0;1;-0.33000178383235995
0;0;0;1;-0.034605090744717
0;0;0;1;-0.018992063399034687
0;0;0;1;0.055662416208370244
0;0;0;1;0.08268028063334562
0;0;0;1;0.09032113663894949
0;0;0;1;0.10870524459472969
0;0;0;1;0.1376905055107426
0;0;0;1;0.14170959184369808
0;0;0;1;0.14170959184369808
0;0;0;1;0.14669398987991877
0;0;0;1;0.14669398987991877
0;0;0;1;0.14669398987991877
0;0;0;1;0.1600244337511938
0;0;0;1;0.1600244337511938
0;0;0;1;0.1600244337511938
0;0;0;1;0.1600244337511938
0;0;0;1;0.1569978319419834
0;0;0;1;0.1569978319419834
0;0;0;1;0.1569978319419834
0;0;0;1;0.1569978319419834
