distance-to-activities-coefficient;distance-to-centre-coefficient;density-coefficient;distance-to-roads-coefficient;eval-density;spatial-autocorrelation-index;eval-speed;eval-density;eval-activities
1;1;1;1;0.20949865797492434;0.0475295387648558;0;0.2094986579749244;4.958202463889188
1;1;1;1;0.2083105702657139;0.8356764686099211;0;0.20831057026571384;5.447320476667242
1;1;1;1;0.2032238481102742;0.10241294978063716;0;0.20322384811027422;5.329660786700836
1;1;1;1;0.17881530475018434;0.44543079775895456;0;0.17881530475018437;5.547431622758603
1;1;1;1;0.22593438151671086;0.3991998677335141;0;0.22593438151671083;6.008405390158038
1;1;1;1;0.15258558084940566;0.336817920416939;0;0.1525855808494057;4.548565161496526
1;1;1;1;0.20583615322856136;0.6727540104408347;0;0.20583615322856139;5.277283820003133
1;1;1;1;0.21486071568864007;0.07726177812792567;0;0.21486071568864012;4.852355197454003
1;1;1;1;0.20560149354971483;0.10631468506615611;0;0.20560149354971483;4.133103454011144
1;1;1;1;0.16244047220613594;0.05551900248468176;0;0.162440472206136;4.974502964971685
1;1;1;1;0.18249215093322962;0.7476316280533829;0;0.18249215093322965;4.619601426074128
1;1;1;1;0.19744201469320222;0.6212218156345389;0;0.19744201469320224;4.576999165426016
1;1;1;1;0.14712895921958352;0.13923225328736183;0;0.14712895921958355;3.8915058972570336
1;1;1;1;0.21014493075431065;0.21153548846748624;0;0.21014493075431065;5.009146177290621
1;1;1;1;0.170243218979573;0.609307715709508;0;0.17024321897957298;4.601244856626144
1;1;1;1;0.18515492517596469;0.30859843492176414;0;0.18515492517596469;5.491734536406777
1;1;1;1;0.1736709169149694;0.1251051812218127;0;0.17367091691496936;5.6551064070183354
1;1;1;1;0.20022636538296906;0.8886815247173049;0;0.20022636538296898;4.483777738073692
1;1;1;1;0.1625275817962018;0.4660422972316066;0;0.1625275817962018;4.995149310428034
1;1;1;1;0.1983428150026418;0.08510522035319688;0;0.19834281500264184;4.745110705822628
1;1;1;1;0.16970171912942975;0.7804592045479397;0;0.16970171912942977;4.86870407881484
1;1;1;1;0.20328438166758508;0.06475793639835005;0;0.20328438166758517;4.662020606510481
1;1;1;1;0.23292503639273276;0.0683876757955549;0;0.23292503639273282;4.7143534995820096
1;1;1;1;0.19658373628072476;0.1136364354780216;0;0.19658373628072473;4.7767932955236345
1;1;1;1;0.20374848937248316;0.1076710409542603;0;0.20374848937248313;4.915959135044641
1;1;1;1;0.2144417461465374;0.07593538577493412;0;0.21444174614653738;5.1305740386957925
1;1;1;1;0.18412683719232484;0.6278892484824649;0;0.18412683719232487;5.549420545018666
1;1;1;1;0.14935623053009875;0.12078470092629953;0;0.14935623053009878;4.11030925709027
1;1;1;1;0.15269043611955463;0.1243857469840276;0;0.15269043611955463;4.173977369692934
1;1;1;1;0.15283737585921442;0.5171636103133211;0;0.15283737585921442;5.030639964200609
1;1;1;1;0.16733727473584192;0.8216637042283964;0;0.16733727473584192;4.800359230427968
1;1;1;1;0.18826322311333624;0.31840763616968665;0;0.1882632231133362;5.277614763158896
1;1;1;1;0.18295113774845756;0.11276523577506396;0;0.1829511377484575;5.032473447441758
1;1;1;1;0.2069010537902553;0.0899586116170142;0;0.2069010537902553;4.939050049016975
1;1;1;1;0.161186053388722;0.28264541314527913;0;0.16118605338872202;4.799252585934227
1;1;1;1;0.1901095452030584;0.04592719990558552;0;0.1901095452030584;5.02192995803548
1;1;1;1;0.2100471189931644;0.057385995995197496;0;0.21004711899316442;3.8360781106238795
1;1;1;1;0.1746152078360085;0.836770251451215;0;0.1746152078360085;5.852043018554231
1;1;1;1;0.20099004845793128;0.673490825464058;0;0.20099004845793134;4.9296026630111465
1;1;1;1;0.2179413318719192;0.06883738690866083;0;0.21794133187191916;4.532885263932035
1;1;1;1;0.20247640951693452;0.4598619531071551;0;0.20247640951693455;5.276288123613606
1;1;1;1;0.1808645733655056;0.5855607803352632;0;0.18086457336550552;4.922219608569222
1;1;1;1;0.19254098764628486;0.0837194748562009;0;0.19254098764628486;4.869039844921829
1;1;1;1;0.200801389380501;0.047529879214412145;0;0.20080138938050096;4.975305812158372
1;1;1;1;0.20451923903877703;0.05109162180798033;0;0.20451923903877706;5.069180747540942
1;1;1;1;0.17309898071207014;0.5073751926133215;0;0.17309898071207014;4.554685687741136
1;1;1;1;0.15768262307765646;0.5799172347045325;0;0.15768262307765643;4.601153945733023
1;1;1;1;0.1946292410866241;0.1809740743846843;0;0.1946292410866241;4.561123238607506
1;1;1;1;0.18923520324064644;0.053499828973154355;0;0.1892352032406464;4.61510030570852
1;1;1;1;0.16805523922829613;0.5506051311029883;0;0.16805523922829618;4.452007543409739
