distance-to-activities-coefficient;density-coefficient;distance-to-center-coefficient;distance-to-roads-coefficient;eval-density;spatial-autocorrelation-index;eval-speed;eval-density;eval-activities;eval-economic
0;0;0;1;0.4279945608051965;0.10669260853886872;1.1864976819628659;0.42799456080519654;15.028641912973782;0.07819110581639446
0;0;0;1;0.5501254382634394;0.11753298510964691;1.2276171655490458;0.5501254382634393;10.095021645437676;0.07128220882368166
0;0;0;1;0.5691566559239918;0.1276448295241971;1.2550722773163896;0.5691566559239917;10.59775920313133;0.07191826791095615
0;0;0;1;0.3695973491935245;0.48973806704742456;1.147705322428614;0.3695973491935244;20.564989224229414;0.062142614150021015
0;0;0;1;0.33666567760649524;0.056905432595806514;1.1541060414719713;0.33666567760649524;23.960873555659493;0.07400460800277017
0;0;0;1;0.42570202075575037;0.10302961769895017;1.182488569477556;0.42570202075575037;15.611551088802367;0.06668415156565911
0;0;0;1;0.3744983023089934;0.07566571074497261;1.1463778651920062;0.3744983023089934;21.90853000104716;0.07679664915530456
0;0;0;1;0.4275935599801027;0.08650860012704248;1.1819279510884413;0.4275935599801026;16.450188705144846;0.0697928268591116
0;0;0;1;0.49127978442918546;0.406132683165387;1.2172688522646316;0.4912797844291853;13.208193063457575;0.06493930556283917
0;0;0;1;0.4503472515354622;0.10290051023011386;1.1945660184370854;0.4503472515354621;13.997871354942404;0.06547320564342268
0;0;0;1;0.481021278171967;0.0973041695225519;1.2149618991036657;0.481021278171967;11.89191349404074;0.07363170329876999
0;0;0;1;0.6811212854464992;0.14186118925868058;1.21428136103498;0.6811212854464992;8.856250211267733;0.07830755855122863
0;0;0;1;0.4296445127067037;0.09170654955861457;1.1841118724778288;0.42964451270670356;16.248831621767046;0.0719531283363759
0;0;0;1;0.5767986781842351;0.14357342533741277;1.2062325817458783;0.5767986781842352;13.638547190501772;0.06925480868266802
0;0;0;1;0.46605407597050885;0.1694412223142086;1.1748288588091627;0.46605407597050885;16.145067383697096;0.06572283003877041
0;0;0;1;0.4764263273229291;0.10237110292113472;1.2009331445973919;0.47642632732292917;15.344464348684237;0.0779950664966316
0;0;0;1;0.7010833431973182;0.14855519678048576;1.1594316684062178;0.7010833431973181;6.783406208547161;0.07468468939900523
0;0;0;1;0.3834952456120978;0.09223635082091133;1.1679102374273287;0.3834952456120978;19.34546678031844;0.06575545925132935
0;0;0;1;0.49437008000955823;0.09813443260730499;1.2136865081521029;0.4943700800095583;12.726964451861885;0.07128964434344405
0;0;0;1;0.6169014008312285;0.12300348678107742;1.1836957492626798;0.6169014008312285;6.993886455149547;0.06568427050259122
0;0;0;1;0.43669503584724245;0.08275358686511712;1.1905594913513955;0.4366950358472425;14.243005311192617;0.07408116143646873
0;0;0;1;0.4418843416713315;0.08405876281862523;1.1849809438046093;0.4418843416713314;14.64119930213704;0.06574457435077917
0;0;0;1;0.5741439040490564;0.10645993770877742;1.2245724914137526;0.5741439040490561;8.334332272963385;0.07173962692209959
0;0;0;1;0.42510900764521786;0.08039645809799059;1.1846407251920466;0.4251090076452177;15.81201948711912;0.07486805198281518
0;0;0;1;0.5288561754297051;0.09940070118606875;1.227460262802699;0.5288561754297051;10.054555294100107;0.07382249475856184
0;0;0;1;0.43432507814494625;0.09597235543315057;1.1956762597019872;0.43432507814494636;15.235902711341724;0.07560301461393698
0;0;0;1;0.3640570965928448;0.08588442908223057;1.1524827609413482;0.3640570965928448;21.73721624065997;0.07349612423341904
0;0;0;1;0.5931687419633082;0.13349368039136805;1.2245724914137526;0.593168741963308;8.334332272963385;0.0764207585081259
0;0;0;1;0.7271233544642601;0.7516045486832524;1.2569573749668268;0.7271233544642601;9.148014642060346;0.07309919485485741
0;0;0;1;0.4654765304787798;0.08651060512722676;1.2032501081079605;0.4654765304787798;13.112908452666433;0.07370386423500999
0;0;0;1;0.3568384085750649;0.0644009340190464;1.1439194635158276;0.35683840857506477;23.794413792304;0.07878613706657829
0;0;0;1;0.6203611288654979;0.13348833385172756;1.245945202096154;0.6203611288654979;9.042379701060943;0.08240268399478583
0;0;0;1;0.3703227626981558;0.07085068129848851;1.1588191271150559;0.3703227626981558;19.52021600245197;0.05912712729009509
0;0;0;1;0.7100901687201047;0.13081022800681036;1.1943025075469789;0.7100901687201047;7.111208998214289;0.06978923919216345
0;0;0;1;0.4360533782985748;0.09298445066882195;1.1926152647377257;0.4360533782985748;14.25263694901308;0.06068660463924284
0;0;0;1;0.42287649292429663;0.1032071843847732;1.1752589067352994;0.4228764929242966;17.0042543775809;0.06405117241590087
0;0;0;1;0.39430959674949995;0.09942701014388883;1.1517944000182705;0.39430959674949984;19.314785103322606;0.07108526475793084
0;0;0;1;0.5489014557692758;0.12737845730758715;1.2235169825294452;0.548901455769276;8.878665513533681;0.07121482629329785
0;0;0;1;0.500072322983242;0.10328947438769936;1.2138274750524165;0.5000723229832421;11.747430127067501;0.06615971603686865
0;0;0;1;0.45144501495689543;0.10312711215399033;1.2016509560451394;0.45144501495689554;14.956992513342772;0.057849407020829635
0;0;0;1;0.5390826059048776;0.12272835689927143;1.2247533385608453;0.5390826059048776;10.580381596687914;0.07503303941192398
0;0;0;1;0.43845895036574184;0.0749756277877795;1.1802433119629285;0.4384589503657418;15.978468119698835;0.06937905256623415
0;0;0;1;0.4613404271746083;0.0861582234573517;1.1993734749094846;0.4613404271746083;13.24885828637629;0.07497290913748138
0;0;0;1;0.5368857929081664;0.10053570170301958;1.22112444631342;0.5368857929081665;10.707445996104338;0.06900646551161457
0;0;0;1;0.6906018953423297;0.1333925776440003;1.2053339365591034;0.6906018953423297;7.3808726313822755;0.07527753772336775
0;0;0;1;0.4209560785251465;0.09072413352914396;1.167677702074209;0.42095607852514644;16.98353153007917;0.06495440374826453
0;0;0;1;0.33657980745293653;0.07706100688166218;1.1423271985812435;0.3365798074529365;21.615223505183682;0.08018845196891694
0;0;0;1;0.6279904049180384;0.13255871910190622;1.1852957797258747;0.6279904049180383;6.967565405397899;0.06921355391188072
0;0;0;1;0.5474897759535389;0.12256009372655949;1.0650616857256177;0.5474897759535391;5.252716108435745;0.066401318867283
0;0;0;1;0.3793194303210219;0.0765895342517805;1.1707349776764673;0.3793194303210218;18.644246021744426;0.06572346128243074
0;0;0;1;0.46575742636523787;0.10246588193733885;1.2073422568030732;0.46575742636523787;12.894547094612193;0.06314017714637991
0;0;0;1;0.42703302457591596;0.09979526005216445;1.1795019595330278;0.42703302457591596;15.226177986921105;0.07783245212375395
0;0;0;1;0.4949611542625386;0.10300840492186718;1.210806537702111;0.49496115426253856;11.783743171781836;0.07894635866585
0;0;0;1;0.44251394937828814;0.08560986359715103;1.1826755332737444;0.44251394937828814;14.560771549121451;0.06168441020564693
0;0;0;1;0.40867521395262685;0.11319044164585429;1.1532743304054425;0.40867521395262696;19.381918857114808;0.08038110766329615
0;0;0;1;0.6281615413593902;0.1312566600209545;1.2383595824155604;0.6281615413593901;8.534454513710434;0.07454452043534598
0;0;0;1;0.4355095825639867;0.0799668949955038;1.1745203502428094;0.4355095825639867;16.33601857428444;0.0651444124430063
0;0;0;1;0.44172719101442415;0.10220063251845966;1.1824885694775558;0.44172719101442415;15.611614313648863;0.06161083401595052
0;0;0;1;0.4808990631765193;0.12667609517455405;1.1789555679571644;0.4808990631765194;16.08812190301781;0.07111259156798574
0;0;0;1;0.5581252009041305;0.11849618083354534;1.217683764057408;0.5581252009041306;8.72468462765837;0.07814390741369275
0;0;0;1;0.6331972194432032;0.15275652125580225;1.244830590841183;0.6331972194432032;8.950024418962148;0.07941627507111675
0;0;0;1;0.6519916321412602;0.1411488453527363;1.2422183049424702;0.6519916321412601;8.459893883416042;0.07050976460700445
0;0;0;1;0.5614140785130491;0.11630054071835742;1.222343599167299;0.561414078513049;8.698842096374158;0.06947595489613871
0;0;0;1;0.42272070371189907;0.08882191245595893;1.1835990697813754;0.42272070371189924;15.264001908759317;0.06958401092556228
0;0;0;1;0.33482092646463085;0.08298534506934523;1.1379859028670212;0.3348209264646308;24.82045690301109;0.06725566765931036
0;0;0;1;0.43492759850755613;0.08283333433820754;1.1735763616561417;0.4349275985075561;17.597580391341076;0.06693187966512433
0;0;0;1;0.6202605402914263;0.15879137515149486;1.213921981208715;0.6202605402914263;7.684506203826343;0.07286030606083976
0;0;0;1;0.38602417517559473;0.086495449971256;1.1710182631448105;0.3860241751755948;19.87913130399625;0.07932290022605915
0;0;0;1;0.5870406436555646;0.13707946013332106;1.247556945710438;0.5870406436555646;10.076570464579351;0.07639358217425002
0;0;0;1;0.42768303452628703;0.08349475257412309;1.1782403288740235;0.427683034526287;15.475093324344892;0.07415700269555624
0;0;0;1;0.6819003392460934;0.9676694671859707;1.2019929241121186;0.6819003392460935;7.7946280753716515;0.07508495831513697
0;0;0;1;0.4261917759310506;0.07882390062970311;1.1803028564013498;0.4261917759310507;15.682002354803746;0.07198651288629042
0;0;0;1;0.4135561324910922;0.06865528585764942;1.16743205100788;0.4135561324910922;16.670629147242547;0.07226445778491047
0;0;0;1;0.43307761212986684;0.1772639043700759;1.1684375488276004;0.4330776121298669;16.782312935610975;0.06710390873639772
0;0;0;1;0.4394812796952534;0.11265146479932257;1.2017961835107505;0.4394812796952534;14.212728741740506;0.07152523327642672
0;0;0;1;0.4562798988293198;0.10222729371163415;1.1977239960838078;0.45627989882931985;15.275211861142262;0.0759402465117059
0;0;0;1;0.4836488438822652;0.09284896755045362;1.2067622832734628;0.48364884388226537;12.744341638628157;0.06944343897202622
0;0;0;1;0.6157150694272272;0.11634549519417246;1.2010554972369338;0.6157150694272272;7.30190575523288;0.0734736039088508
0;0;0;1;0.4360760487445877;0.0976020629006126;1.1868158054663165;0.4360760487445877;16.065604350598203;0.057783403398388035
0;0;0;1;0.36322663129730537;0.06362452288796495;1.156043562412091;0.36322663129730526;20.035537877931397;0.0699314228662305
0;0;0;1;0.4474423433889272;0.08765824846887413;1.2065131823005022;0.4474423433889272;13.481244122211502;0.06484475837830071
0;0;0;1;0.47260629815820904;0.0925019834166145;1.211858139965733;0.4726062981582089;12.92241746383024;0.0649832797088425
0;0;0;1;0.5853309665243059;0.11133872522632497;1.2218928604960082;0.5853309665243058;8.62731012860862;0.07918442008133003
0;0;0;1;0.6783928305988209;0.14303500671374544;1.0409901770980277;0.6783928305988212;5.040705514315384;0.07948008688120128
0;0;0;1;0.48934758692990155;0.10694040500330232;1.153105424647967;0.4893475869299015;17.900022159846475;0.07039031684020756
0;0;0;1;0.4875746568434531;0.11230410991573764;1.1998640491316461;0.487574656843453;12.82282463170258;0.07133589668286057
0;0;0;1;0.4304340006485284;0.11065031131908808;1.165716466761401;0.43043400064852844;16.848988555260984;0.07452591191104452
0;0;0;1;0.6414230685498404;0.11469641262721134;1.1478197383361226;0.6414230685498404;6.562624693546126;0.07305055656102329
0;0;0;1;0.3932801183393075;0.10989415797167285;1.1534056806088837;0.3932801183393075;19.875378168317265;0.06673295659958492
0;0;0;1;0.37745495833937276;0.10295156419950466;1.152450462400798;0.37745495833937276;18.857676805850836;0.0709433476126766
0;0;0;1;0.3566898793032184;1.0000000000000613;1.151306312976245;0.35668987930321844;21.818300197562483;0.06977862761652529
0;0;0;1;0.5800004542123178;0.1259642834691084;1.2240544440477037;0.5800004542123178;7.952747550063026;0.0790416920160244
0;0;0;1;0.6580048798861179;0.1395770198414645;1.1896939482794089;0.6580048798861179;7.1670764637792965;0.0666867438976488
0;0;0;1;0.3696372577774889;0.07275101487502528;1.1580454251946666;0.3696372577774889;20.09931209304975;0.0645841645526179
0;0;0;1;0.4717704455147847;0.10737259797358426;1.2104969473054086;0.4717704455147848;12.692314380235306;0.0669513895510026
0;0;0;1;0.5790473404035352;0.7882579184181346;1.2412247571074588;0.5790473404035353;9.441167155927298;0.08053080437605109
0;0;0;1;0.6468794774345921;0.1405261022029725;0.9850816147167716;0.6468794774345921;4.429563829919399;0.06344055993348241
0;0;0;1;0.617869493772617;0.12797304785867206;1.2016352167115976;0.617869493772617;7.208018347593929;0.08085755239648383
0;0;0;1;0.4495958428026199;0.09408571054589984;1.1886300723196928;0.4495958428026198;14.946772310113563;0.07264868239532944
0;0;0;1;0.3543744069823365;0.08517776410799638;1.1509498571037906;0.3543744069823365;20.724398457228986;0.06164143670818587
0;0;0;1;0.425077909720321;0.09195776195762645;1.1899855196065698;0.425077909720321;15.538541785997133;0.07658410653448022
0;0;0;1;0.43898968131227656;0.10936300418198934;1.1976631575582224;0.4389896813122765;15.354796438245328;0.06305103530633628
0;0;0;1;0.44587803699172274;0.11145699016353833;1.2066235636208638;0.4458780369917227;14.825198886975382;0.06950756938050252
0;0;0;1;0.5000932255245306;0.1537450905833169;1.1564580472375787;0.5000932255245306;17.629474360045062;0.05995585527425389
0;0;0;1;0.41160403063975903;0.08016069323207085;1.169393582034596;0.41160403063975926;17.087119478568276;0.06420679975153683
0;0;0;1;0.5057046286916143;0.12518245731078967;1.2222469580927118;0.5057046286916144;11.254000201306818;0.06531973734947112
0;0;0;1;0.5618113670781806;0.1309331573473509;1.2400439178613472;0.5618113670781807;9.673467923077263;0.0700164467130763
0;0;0;1;0.3940934121463304;0.07653155607691872;1.1557940341682145;0.3940934121463303;18.69350832093122;0.07814524473963982
0;0;0;1;0.4908104861216134;0.11075050057844006;1.2231879225816955;0.4908104861216133;12.152436229991721;0.06480316053595214
0;0;0;1;0.44354878823324023;0.08930496811975054;1.1900883640710638;0.4435487882332402;16.27137579931994;0.07391600024734396
0;0;0;1;0.4981625208348427;0.12067165322179801;1.2136937567956845;0.4981625208348428;12.785021288407894;0.07431817232403297
0;0;0;1;0.43662439409136133;0.10987293374821384;1.1667677896621587;0.43662439409136145;16.662253135605976;0.0814514759773833
0;0;0;1;0.48797050240087;0.09510447091904956;1.2092881986676847;0.48797050240087003;12.291237316744095;0.06598485621053782
0;0;0;1;0.4261342538387107;0.5036224879694355;1.1744463914797916;0.42613425383871073;17.89159141998793;0.06952338544118168
0;0;0;1;0.36556051461124134;0.08692537960235822;1.1636138935456937;0.3655605146112413;20.200476018199076;0.08081628775262498
0;0;0;1;0.4233250306526912;0.08627735501151848;1.175623177043799;0.4233250306526911;15.726948304526221;0.0749096995078197
0;0;0;1;0.6336833704787381;0.13511131376336238;1.2337605038872819;0.6336833704787382;8.42702486887425;0.08265479134538993
0;0;0;1;0.47082034100493136;0.11269427192771272;1.1977092239457323;0.4708203410049313;13.184061666129299;0.07192334843900268
0;0;0;1;0.4502857060015783;0.08834748065406954;1.1885138421959374;0.4502857060015783;14.153283956792908;0.0743837547730919
0;0;0;1;0.391852710083502;0.08701637643579221;1.1773077796968783;0.391852710083502;17.449541055281923;0.07282806577000912
0;0;0;1;0.4480730821715409;0.07928444647928705;1.1877143339018965;0.44807308217154096;14.14420696106125;0.07171001653186322
0;0;0;1;0.31110422102622587;0.059791824984151656;1.1358196667163645;0.31110422102622587;26.037234349161643;0.0691229467496103
0;0;0;1;0.40562502734613887;0.09553617513325917;1.1578824108513486;0.405625027346139;18.17957440272483;0.07109904979757356
0;0;0;1;0.5431665207889219;0.09541553588249063;1.223773489948797;0.543166520788922;10.631254191473989;0.0799729118198948
0;0;0;1;0.6589492153111548;0.14247764696868723;1.218411622640798;0.6589492153111547;7.888665039432115;0.07515606089194986
0;0;0;1;0.4522090350553601;0.09937473678871368;1.1998968071085017;0.45220903505536;13.882762039402515;0.07409890199192494
0;0;0;1;0.4550059223368479;0.1079053248610943;1.1893161963237893;0.4550059223368478;15.132213689091923;0.06869303364702199
0;0;0;1;0.5250529866353907;0.09279567381918703;1.2238967178035467;0.5250529866353907;10.563665005292991;0.0775880429057765
0;0;0;1;0.36833468234846345;0.09575425554094757;1.1572489129299275;0.36833468234846345;21.266178504833054;0.07619092530692516
0;0;0;1;0.4809560411668633;0.1287494068255608;1.203938952311531;0.48095604116686336;15.440501440319528;0.06794403358973318
0;0;0;1;0.4944611766267004;0.11267318916217485;1.2099684345706474;0.49446117662670047;11.970637954388256;0.06431656080764402
0;0;0;1;0.5443418319578439;0.09486896662580348;1.1635043671995424;0.5443418319578438;20.14743784209887;0.06237808211691084
0;0;0;1;0.4853204555504723;0.46305670449935293;1.2016726776501674;0.48532045555047226;12.798841664297514;0.0764450121853213
0;0;0;1;0.592378825031947;0.35839444283622024;1.2530126969243578;0.592378825031947;9.453149180708674;0.07671226591908749
0;0;0;1;0.445962830376075;0.10579452254153117;1.1875623121548553;0.445962830376075;17.179255864655207;0.0716613085727918
0;0;0;1;0.4525641631852953;0.09609989137723057;1.1997267597587578;0.4525641631852953;16.372906708768962;0.06648755080683541
0;0;0;1;0.37705985848212076;0.07466057474676063;1.1656829795932295;0.37705985848212087;18.674862814996526;0.06103336442384939
0;0;0;1;0.6257600044963255;0.1680163432009305;1.216495458463899;0.6257600044963255;8.086845517325047;0.07558768774611786
0;0;0;1;0.47779159278305866;0.10844255266002661;1.2048355731037756;0.47779159278305855;12.445011106420917;0.07189341701665801
0;0;0;1;0.4159184126127046;0.08900431110232851;1.1861280365790532;0.4159184126127048;16.118506481676228;0.06067315718037303
0;0;0;1;0.6913696953736923;0.15156801647382867;1.098228615422538;0.6913696953736923;6.175202400921329;0.08298185249919117
0;0;0;1;0.5157836487400134;0.14199952714077163;1.2086563638148649;0.5157836487400134;12.155854925946514;0.07587480365587385
0;0;0;1;0.38564017379341164;0.0694064929397292;1.1713149513565568;0.38564017379341164;18.384296898163313;0.06625075315280875
0;0;0;1;0.4767690759239234;0.11605437551774925;1.2102874435519704;0.47676907592392337;12.619588797132348;0.05607865827608239
0;0;0;1;0.4267594744912656;0.08460271503182494;1.1959525751097746;0.4267594744912655;14.701866556902464;0.07917281104186547
0;0;0;1;0.46913484934413857;0.0984867093129437;1.2047117022325893;0.4691348493441385;13.396264411222905;0.07163121335743655
0;0;0;1;0.6731176794518956;0.13624128679511432;1.0441181058176296;0.6731176794518954;5.0871368231531475;0.06352974817557287
0;0;0;1;0.35828147127750554;0.07284004970202296;1.1555590465644154;0.35828147127750554;20.97616135949655;0.07487997953173978
0;0;0;1;0.5298090090892981;0.13687422510371428;1.237672492987948;0.5298090090892981;10.617053191556238;0.07458274793403931
0;0;0;1;0.39112500920556714;0.07543083094037356;1.1691434588459126;0.3911250092055672;18.72979465815711;0.07003159782377019
0;0;0;1;0.5925120061373518;0.12568087086122187;1.0216836551505195;0.5925120061373519;5.0516477498100425;0.07227388295328692
0;0;0;1;0.3432175407067707;0.0652569156539793;1.1480151187620926;0.3432175407067707;21.92821368633694;0.0697793339030619
0;0;0;1;0.47096791873307414;0.083084286802085;1.1979634482427863;0.47096791873307425;14.031747180156877;0.06896859829114921
0;0;0;1;0.33800112642498986;0.06715122993117997;1.1439136860338885;0.33800112642498986;23.458173837787236;0.07148444381127786
0;0;0;1;0.5178819769326711;0.11006874710439013;1.2274473468132865;0.5178819769326711;10.881135375703252;0.07655911289294957
0;0;0;1;0.6251835233269745;0.14729679410701574;1.1772799246261076;0.6251835233269744;6.7991684643226415;0.06410644872152906
0;0;0;1;0.4503461713813554;0.10822805034980194;1.1779640937599574;0.4503461713813554;15.637704481017346;0.0672202635613285
0;0;0;1;0.49903122256348437;0.11199107636334205;1.217295271752568;0.4990312225634843;14.36820438504166;0.061859233621715394
0;0;0;1;0.6742115162174396;0.44936066287801146;1.237797896660762;0.6742115162174395;8.332751150102439;0.08324325994596835
0;0;0;1;0.4682244656487468;0.08862489108089443;1.207154952961037;0.4682244656487468;12.462067413919344;0.07528899974452588
0;0;0;1;0.5073073426275614;0.13681097065188644;1.2346330382251365;0.5073073426275613;12.445355937631774;0.0668265793037928
0;0;0;1;0.5143109696829707;0.12162513354322438;1.211711575929173;0.5143109696829707;13.552496616431792;0.06263652048573501
0;0;0;1;0.6364896269664385;0.13891890267528392;1.2285366469731422;0.6364896269664385;10.1739688931873;0.07821588845959195
0;0;0;1;0.4608491494104748;0.1119627288310728;1.2182612323133826;0.46084914941047456;13.412729181502433;0.07774987669691195
0;0;0;1;0.33048002901788714;0.06384487670509535;1.1401029012479138;0.33048002901788714;21.880433462416295;0.06816650797445158
0;0;0;1;0.6260310698748583;0.12802802283565093;1.189924092957056;0.6260310698748583;7.000089665510828;0.07819451041641089
0;0;0;1;0.3401523899287826;0.06719673602415287;1.1525750824262144;0.3401523899287826;22.110199521698284;0.072196322335574
0;0;0;1;0.7128869074686557;0.13561582851199552;0.9319758246219435;0.7128869074686557;4.913892305421017;0.08785899080486906
0;0;0;1;0.37157983546220463;0.06617114649308631;1.1604141556947503;0.37157983546220463;20.612645610997635;0.06891368423932859
