distance-to-activities-coefficient;density-coefficient;distance-to-center-coefficient;distance-to-roads-coefficient;eval-density;spatial-autocorrelation-index;eval-speed;eval-activities
0;0;0;1;0.14837143329773178;0.11496326249486723;1.1031837867472927;0.714987106196424
0;0;0;1;0.2114824490539035;0.06999804884436028;1.198719963307632;0.6589581574407459
0;0;0;1;0.15055599545613216;0.04226930342259554;1.1517997616164677;0.6242883706694751
0;0;0;1;0.21910448427499962;0.0800561026703526;1.1865174451401104;0.6777193878960596
0;0;0;1;0.2064191677575647;0.06801571622182463;1.151680240276242;0.647347618766364
0;0;0;1;0.20483750684725496;0.07093834318210426;1.1661390837854555;0.6784413511779853
0;0;0;1;0.20445194083525098;0.05113092659728336;1.1615120317513632;0.6761469309446223
0;0;0;1;0.3790545309377783;0.10214787981560493;1.216783433545475;0.8119075763157191
0;0;0;1;0.19845844970165405;0.10592908463329559;1.1449127465668305;0.6266124381359499
0;0;0;1;0.16831144859541763;0.10491211871768814;1.24250209510837;0.6703230318419159
0;0;0;1;0.2132143667639752;0.04479108737164765;1.1847086441500685;0.7002902768915793
0;0;0;1;0.2714238836873083;0.08642830796157512;1.2249829760057944;0.6572209436067249
0;0;0;1;0.18215988902578656;0.06172079918444095;1.1673903874801494;0.6782985886981763
0;0;0;1;0.16078264412448115;0.04390951961705564;1.142517004716075;0.6099162369509189
0;0;0;1;0.30957918897859693;0.08232282092895118;1.2389223129435738;0.6714966443838528
0;0;0;1;0.20122066724319573;0.06199275994396938;1.1775283250986437;0.7323616566419384
0;0;0;1;0.367192788558931;0.08982559163798413;1.2352697948246705;0.6734754045903545
0;0;0;1;0.20515267273855434;0.0863571298830705;2.3206583802366914;0.6739442872845458
0;0;0;1;0.14705927248680162;0.05469753341010761;1.1313315314105208;0.6714812696066887
0;0;0;1;0.1816238186707037;0.039507771855781505;1.1708400128229721;0.6572652943995916
0;0;0;1;0.1998511217862345;0.05742900960147393;1.1806331486639634;0.6970316557478874
0;0;0;1;0.18963661180460684;0.08405277502676338;1.1577500644142118;0.776075355076718
0;0;0;1;0.16436294635430843;0.06468352489008508;1.1418325451578846;0.6611835794964798
0;0;0;1;0.5166221972488226;0.10710897350402461;1.2542239575395702;0.6615654543246753
0;0;0;1;0.17005299467412685;0.055044656466280394;1.1441226723653206;0.6749531045505024
0;0;0;1;0.37066791058208043;0.10453247616655895;1.2456742785224713;0.797501394017583
0;0;0;1;0.28490289937455127;0.08810975751788457;1.231748237430695;0.6510847769484587
0;0;0;1;0.15072698560168896;0.06019321329163508;1.1731407021421967;0.7006944659559806
0;0;0;1;0.35806365637583837;0.1097614017366136;1.2390974276214797;0.6915299529666733
0;0;0;1;0.190223654135774;0.08121832069910953;1.1732293267607699;0.6676772346905111
