eval-density;spatial-autocorrelation-index;eval-speed;eval-activities
0;0.01668196634364664;1.152109162380199;5.476916889830204
0;0.02840489249113489;1.0945139396352446;5.324722201839469
0;0.0360891397127717;1.0692082004360217;5.135344736121047
0;0.12948461384638005;1.0633525203789504;5.858766480840631
0;0.23489615115766596;1.0101495941993814;5.510842321349616
0;0.2657433954030634;0.9562948885225779;4.99010009936691
0;0.2363798900263342;0.9340556593556628;4.89477158891099
REPORT must be immediately inside a TO-REPORT.;0.23777075227491715;0.9235866807320761;4.913045413993707
0.19701159990293482;0.23777075227491715;0.9235866807320762;4.913045413993707
0.19701159990293482;0.23777075227491715;0.9235866807320763;4.913045413993707
