distance-to-activities-coefficient;distance-to-center-coefficient;density-coefficient;distance-to-roads-coefficient;eval-density;spatial-autocorrelation-index;eval-speed;eval-activities
0;0;0;0.2;0.1983621521268113;0.10095200140567685;1.4148195830681343;0.6644492330922778
0;0;0;0.2;0.16507286127539622;0.052876483183610004;1.181368913399086;0.6887524021925803
0;0;0;0.2;0.20200386599635195;0.0817700160820695;1.2016911793047211;0.6799133282699173
0;0;0;0.2;0.23577425966652288;0.07187334881000576;1.1528450085023392;0.5706680465410753
0;0;0;0.2;0.1970770555722081;0.07537745098429574;1.215395478611546;0.7590770263985563
0;0;0;0.4;0.18154490502837767;0.8271285820473796;1.1531300662356063;0.7369745201457649
0;0;0;0.4;0.19516705206594953;0.06747161647149637;1.2118287733546271;0.6926730641005674
0;0;0;0.4;0.13235275542457936;0.12766262865161818;1.1371278257728403;0.6696406132291879
0;0;0;0.4;0.13057743109215086;0.043393826357759284;1.139003033554386;0.6461137805073295
0;0;0;0.4;0.17566713433162387;0.0727677041791624;1.2029034790032025;0.7898616820490709
0;0;0;0.6000000000000001;0.16092254755872226;0.06325487949047107;1.1950088109345156;0.6526039761316145
0;0;0;0.6000000000000001;0.193052438182854;0.041147893797788576;1.1581484181275514;0.7620681800754957
0;0;0;0.6000000000000001;0.16429764291430096;0.059140863436590856;1.1353933302034531;0.6437913975260358
0;0;0;0.6000000000000001;0.11507826235581617;0.0879937385792205;1.155167184347838;0.6659579410835496
0;0;0;0.6000000000000001;0.1706370115907569;0.06469033137229642;1.1747187819226181;0.7050739617221223
0;0;0;0.8;0.1335542574508536;0.09098779797194674;1.1710044887798916;0.6752134137154016
0;0;0;0.8;0.2274867860768185;0.09696776405445028;1.2001144893119156;0.6559421884853042
0;0;0;0.8;0.18009645323950135;0.07125693566708761;1.2102091335523009;0.72573500825058
0;0;0;0.8;0.16946054535210683;0.061812870462077354;1.1976381817026511;0.6676991967405062
0;0;0;0.8;0.13813440314055844;0.043457557584285614;1.1440969841601427;0.6342040937313962
0;0;0;1;0.1868380964786788;0.05041638112335856;1.2051942169185452;0.66521076833159
0;0;0;1;0.18922467539268306;0.0704742580041929;1.2477513742735586;0.7878009241636283
0;0;0;1;0.11886668616949675;0.07300678098916018;1.1343962304824877;0.7039771346294169
0;0;0;1;0.13745055681637766;0.058322478653588423;2.497319161764653;0.6722622741238435
0;0;0;1;0.18258317014970105;0.0776648053131851;1.1712215065501883;0.6724792675360902
0;0;0.2;0;0.021224037059420338;0.08222790453027498;2.8398677212354153;0.5987810172784694
0;0;0.2;0;0.020696877346581127;0.483757373217341;1.6646674512782584;0.6383857508841844
0;0;0.2;0;0.022044070964470613;0.8852894817610967;1.8489775349169175;0.5910154380175884
0;0;0.2;0;0.02148562762163725;-0.02627215423583361;2.1539643484892284;0.66545502048638
0;0;0.2;0;0.02487379814336726;0.03541110450959988;1.9420497209929501;0.5634037590745454
0;0;0.2;0.2;0.048330159468884665;0.08340666417754465;1.2824487268508287;0.6453571302634961
0;0;0.2;0.2;0.08928519655126793;0.0835155663504864;1.2345386101185183;0.6750136418204586
